a,b,x,y
41,-49,-100,0.11929202720928724
41,-49,-99,0.11942749623711787
41,-49,-98,0.11923827629579956
41,-49,-97,0.11916181912814298
41,-49,-96,0.1195302170524196
41,-49,-95,0.1189390580560654
41,-49,-94,0.118853121584809
41,-49,-93,0.11925336334916997
41,-49,-92,0.11900540456177848
41,-49,-91,0.11926786555442201
41,-49,-90,0.11890012680938737
41,-49,-89,0.1194864592750353
41,-49,-88,0.11917707767218584
41,-49,-87,0.11945877798852411
41,-49,-86,0.11896567435896534
41,-49,-85,0.11939970445386511
41,-49,-84,0.11919197115967829
41,-49,-83,0.11901633662987447
41,-49,-82,0.11889676473499715
41,-49,-81,0.11884860373402929
41,-49,-80,0.11937499085605285
41,-49,-79,0.11884935489089118
41,-49,-78,0.11885656557794758
41,-49,-77,0.11943863638054912
41,-49,-76,0.1188462634525378
41,-49,-75,0.1188406604084567
41,-49,-74,0.11925628038008435
41,-49,-73,0.11892431001731905
41,-49,-72,0.11906020519757157
41,-49,-71,0.1188574870483209
41,-49,-70,0.11945468876495162
41,-49,-69,0.1195323086757627
41,-49,-68,0.11932888089364306
41,-49,-67,0.11907195174148924
41,-49,-66,0.11884625594044548
41,-49,-65,0.11903799102163934
41,-49,-64,0.11939242951043447
41,-49,-63,0.11950570897066576
41,-49,-62,0.11952169126282763
41,-49,-61,0.11884862157089066
41,-49,-60,0.11927692025430155
41,-49,-59,0.11914618648062904
41,-49,-58,0.1189779101477229
41,-49,-57,0.11899267855954575
41,-49,-56,0.11896577060534047
41,-49,-55,0.11906615140868122
41,-49,-54,0.11899016020152076
41,-49,-53,0.11904614713806673
41,-49,-52,0.11891286306031565
41,-49,-51,0.11926802815473649
41,-49,-50,0.11941172339539785
41,-49,-49,0.11893250805935274
41,-49,-48,0.11951141125689897
41,-49,-47,0.11934017389946759
41,-49,-46,0.1195302458800641
41,-49,-45,0.11885074517410989
41,-49,-44,0.11894314143067722
41,-49,-43,0.11884570545041476
41,-49,-42,0.11953352451233673
41,-49,-41,0.11927113054935438
41,-49,-40,0.11946429580057027
41,-49,-39,0.11902960101450621
41,-49,-38,0.11950061353794399
41,-49,-37,0.11941868371791574
41,-49,-36,0.11884206926874027
41,-49,-35,0.1192620889307541
41,-49,-34,0.1192227482599733
41,-49,-33,0.11887312682822822
41,-49,-32,0.1192409990657608
41,-49,-31,0.11929755392615357
41,-49,-30,0.1188413364110244
41,-49,-29,0.1194678963411232
41,-49,-28,0.1195283478699969
41,-49,-27,0.11913412037552704
41,-49,-26,0.11936965850670331
41,-49,-25,0.11912509315436623
41,-49,-24,0.11949379610660835
41,-49,-23,0.1188624667527729
41,-49,-22,0.11911904102373962
41,-49,-21,0.11886694749552279
41,-49,-20,0.11948159652209665
41,-49,-19,0.11908932570822492
41,-49,-18,0.1193262080536165
41,-49,-17,0.11919523598625453
41,-49,-16,0.1195332517018705
41,-49,-15,0.11950917112773393
41,-49,-14,0.11886141316825845
41,-49,-13,0.11939498769416644
41,-49,-12,0.11935641446765674
41,-49,-11,0.11884098782569334
41,-49,-10,0.11936174618351802
41,-49,-9,0.11940468481810187
41,-49,-8,0.11886813436416596
41,-49,-7,0.11951741293499331
41,-49,-6,0.11953066274315903
41,-49,-5,0.11923192021310385
41,-49,-4,0.11928588023415908
41,-49,-3,0.1190434302379429
41,-49,-2,0.1194488348146784
41,-49,-1,0.11889521258249786
41,-49,0,0.11918604651162791
41,-49,1,0.11889521258249786
41,-49,2,0.1194488348146784
41,-49,3,0.1190434302379429
41,-49,4,0.11928588023415908
41,-49,5,0.11923192021310385
41,-49,6,0.11953066274315903
41,-49,7,0.11951741293499331
41,-49,8,0.11886813436416596
41,-49,9,0.11940468481810187
41,-49,10,0.11936174618351802
41,-49,11,0.11884098782569334
41,-49,12,0.11935641446765674
41,-49,13,0.11939498769416644
41,-49,14,0.11886141316825845
41,-49,15,0.11950917112773393
41,-49,16,0.1195332517018705
41,-49,17,0.11919523598625453
41,-49,18,0.1193262080536165
41,-49,19,0.11908932570822492
41,-49,20,0.11948159652209665
41,-49,21,0.11886694749552279
41,-49,22,0.11911904102373962
41,-49,23,0.1188624667527729
41,-49,24,0.11949379610660835
41,-49,25,0.11912509315436623
41,-49,26,0.11936965850670331
41,-49,27,0.11913412037552704
41,-49,28,0.1195283478699969
41,-49,29,0.1194678963411232
41,-49,30,0.1188413364110244
41,-49,31,0.11929755392615357
41,-49,32,0.1192409990657608
41,-49,33,0.11887312682822822
41,-49,34,0.1192227482599733
41,-49,35,0.1192620889307541
41,-49,36,0.11884206926874027
41,-49,37,0.11941868371791574
41,-49,38,0.11950061353794399
41,-49,39,0.11902960101450621
41,-49,40,0.11946429580057027
41,-49,41,0.11927113054935438
41,-49,42,0.11953352451233673
41,-49,43,0.11884570545041476
41,-49,44,0.11894314143067722
41,-49,45,0.11885074517410989
41,-49,46,0.1195302458800641
41,-49,47,0.11934017389946759
41,-49,48,0.11951141125689897
41,-49,49,0.11893250805935274
41,-49,50,0.11941172339539785
41,-49,51,0.11926802815473649
41,-49,52,0.11891286306031565
41,-49,53,0.11904614713806673
41,-49,54,0.11899016020152076
41,-49,55,0.11906615140868122
41,-49,56,0.11896577060534047
41,-49,57,0.11899267855954575
41,-49,58,0.1189779101477229
41,-49,59,0.11914618648062904
41,-49,60,0.11927692025430155
41,-49,61,0.11884862157089066
41,-49,62,0.11952169126282763
41,-49,63,0.11950570897066576
41,-49,64,0.11939242951043447
41,-49,65,0.11903799102163934
41,-49,66,0.11884625594044548
41,-49,67,0.11907195174148924
41,-49,68,0.11932888089364306
41,-49,69,0.1195323086757627
41,-49,70,0.11945468876495162
41,-49,71,0.1188574870483209
41,-49,72,0.11906020519757157
41,-49,73,0.11892431001731905
41,-49,74,0.11925628038008435
41,-49,75,0.1188406604084567
41,-49,76,0.1188462634525378
41,-49,77,0.11943863638054912
41,-49,78,0.11885656557794758
41,-49,79,0.11884935489089118
41,-49,80,0.11937499085605285
41,-49,81,0.11884860373402929
41,-49,82,0.11889676473499715
41,-49,83,0.11901633662987447
41,-49,84,0.11919197115967829
41,-49,85,0.11939970445386511
41,-49,86,0.11896567435896534
41,-49,87,0.11945877798852411
41,-49,88,0.11917707767218584
41,-49,89,0.1194864592750353
41,-49,90,0.11890012680938737
41,-49,91,0.11926786555442201
41,-49,92,0.11900540456177848
41,-49,93,0.11925336334916997
41,-49,94,0.118853121584809
41,-49,95,0.1189390580560654
41,-49,96,0.1195302170524196
41,-49,97,0.11916181912814298
41,-49,98,0.11923827629579956
41,-49,99,0.11942749623711787
41,-49,100,0.11929202720928724
17,14,-100,0.32028583648909836
17,14,-99,0.3226557711600292
17,14,-98,0.3193536489498484
17,14,-97,0.31803555041096393
17,14,-96,0.3244726623000764
17,14,-95,0.3142471176206596
17,14,-94,0.3128059196871962
17,14,-93,0.3196148361257538
17,14,-92,0.3153674580039107
17,14,-91,0.3198662389971688
17,14,-90,0.31359283727974013
17,14,-89,0.3236965760170718
17,14,-88,0.3182978680971593
17,14,-87,0.323207243994387
17,14,-86,0.31469575834409924
17,14,-85,0.3221671587709615
17,14,-84,0.3185542626280052
17,14,-83,0.3155527056874697
17,14,-82,0.3135364418307438
17,14,-81,0.3127304613397018
17,14,-80,0.32173371561636255
17,14,-79,0.3127430052359211
17,14,-78,0.31286346278714117
17,14,-77,0.3228519803957375
17,14,-76,0.3126913853920086
17,14,-75,0.3125978641407032
17,14,-74,0.31966537744834506
17,14,-73,0.3139989908488429
17,14,-72,0.3162979238565772
17,14,-71,0.31287886196950493
17,14,-70,0.32313506352629484
17,14,-69,0.3245098381905233
17,14,-68,0.3209276424114801
17,14,-67,0.31649797277927355
17,14,-66,0.3126912599749895
17,14,-65,0.31592018935939964
17,14,-64,0.3220394634817959
17,14,-63,0.32403760003757265
17,14,-62,0.32432120208784143
17,14,-61,0.31273075919540766
17,14,-60,0.32002337627955235
17,14,-59,0.31776717982885017
17,14,-58,0.3149023656674909
17,14,-57,0.315152042474668
17,14,-56,0.3146973826194155
17,14,-55,0.31639916382123356
17,14,-54,0.3151094431551426
17,14,-53,0.316058789181225
17,14,-52,0.3138066303571281
17,14,-51,0.3198690596489073
17,14,-50,0.32237831214426643
17,14,-49,0.3141368771217296
17,14,-48,0.32413873754929934
17,14,-47,0.3211247453740768
17,14,-46,0.3244731746249979
17,14,-45,0.3127662244187332
17,14,-44,0.3143158763561696
17,14,-43,0.3126820695812816
17,14,-42,0.3245314514250464
17,14,-41,0.3199228854051484
17,14,-40,0.32330468431991477
17,14,-39,0.3157777219369007
17,14,-38,0.3239472710896245
17,14,-37,0.3225007009037804
17,14,-36,0.3126213752042624
17,14,-35,0.3197660583301296
17,14,-34,0.3190852040291761
17,14,-33,0.3131404215892171
17,14,-32,0.31940075887530484
17,14,-31,0.3203819456890801
17,14,-30,0.3126091449012898
17,14,-29,0.3233682939295895
17,14,-28,0.3244394461141806
17,14,-27,0.31756029865504565
17,14,-26,0.3216403228389683
17,14,-25,0.31740566981997903
17,14,-24,0.3238264822240288
17,14,-23,0.31296210256808366
17,14,-22,0.31730207301144514
17,14,-21,0.3130370344376447
17,14,-20,0.3236105245707191
17,14,-19,0.3167942510743318
17,14,-18,0.320881021833663
17,14,-17,0.31861051394261
17,14,-16,0.32452660161645935
17,14,-15,0.32409899954858196
17,14,-14,0.31294448776701483
17,14,-13,0.3220843568830575
17,14,-12,0.3214085601072853
17,14,-11,0.31260332781456923
17,14,-10,0.32150182794114296
17,14,-9,0.3222546273058359
17,14,-8,0.31305688761482714
17,14,-7,0.3242452429483921
17,14,-6,0.32448058326949036
